Time_s,L5S1 (low back / sacrum),RASIS (right hip / pelvis),RLAKN (right knee),RLAMA (right ankle),RDIFT (right toe / forefoot)
0.0,1041.014282,1008.517029,521.949524,103.327766,47.094376
0.004,1036.003174,1004.840759,519.775635,99.95768,43.894482
0.008,1031.398315,1001.549988,518.119751,95.97818,43.389011
0.012,1027.307739,997.151245,514.796509,92.653999,42.136181
0.016,1022.782715,993.834045,512.666199,88.090088,41.462898
0.02,1020.058167,990.195862,508.86087,87.807823,41.316589
0.024,1014.997253,987.019531,506.400421,87.560303,41.155582
0.028,1011.265991,982.490784,503.349609,82.181313,41.54121
0.032,1005.629089,978.510254,500.937378,81.850327,41.719967
0.036,1001.324524,974.615845,497.455444,80.857368,40.991547
0.04,996.223328,971.728027,493.085632,80.357925,40.455711
0.044,992.148254,967.653076,489.275421,79.051102,40.41069
0.048,987.730286,963.522522,485.604431,80.751762,40.41069
0.052,982.694641,960.083557,481.796417,79.602753,40.41069
0.056,978.775269,956.069397,478.657593,76.895737,40.128174
0.06,974.635925,953.372864,474.700012,76.895737,39.680431
0.064,970.436218,948.890076,473.071106,76.895737,39.913189
0.068,967.977539,945.924133,470.426544,76.895737,40.59185
0.072,965.0849,943.485107,467.540771,76.929993,40.872536
0.076,962.935852,940.754761,464.724121,77.032776,40.872536
0.08,961.707153,938.443054,461.271851,76.262924,40.753933
0.084,961.031982,936.638245,459.442749,76.00631,40.572533
0.088,960.129639,935.313293,455.963898,75.977638,40.993404
0.092,956.165588,933.53717,453.396362,76.483238,42.154438
0.096,956.829773,932.484924,451.211334,78.143356,43.081306
0.1,957.182373,930.393372,449.859924,78.713203,43.330807
0.104,956.46344,930.679871,446.671814,78.944908,42.910347
0.108,955.48645,930.174561,444.95282,79.158936,41.648968
0.112,955.190857,929.549988,442.735474,79.53688,41.814411
0.116,955.534729,929.248901,440.358429,79.725853,38.453583
0.12,956.848328,930.28656,439.844055,79.891212,38.692078
0.124,958.812927,928.640381,438.259277,80.529289,39.050629
0.128,958.645142,929.648499,437.875946,81.185814,39.052246
0.132,959.570313,930.195313,437.479584,81.863976,38.892155
0.136,961.188904,931.449463,437.556458,83.440903,38.808857
0.14,962.88092,933.163574,438.147858,85.21479,38.767208
0.144,964.479614,934.445679,438.038269,86.742508,38.767208
0.148,966.492615,936.291504,440.287323,88.41404,38.808857
0.152,968.969604,937.251465,441.478668,90.14032,38.850506
0.156,971.346985,938.819092,442.37381,92.363213,38.808857
0.16,973.927734,940.989807,443.812988,93.480721,38.767208
0.164,977.045715,944.161926,445.282562,96.156326,38.767208
0.168,980.212402,947.61145,446.7612,98.134521,38.767208
0.172,983.098572,950.224731,449.887817,100.113052,38.767208
0.176,986.085144,952.863892,451.729492,102.5886,38.767208
0.18,989.352661,955.648804,454.979797,105.48098,38.767208
0.184,992.758423,958.81311,458.002838,108.305763,39.039635
0.188,996.087952,962.165344,460.998871,112.908554,39.584484
0.192,999.384705,965.430969,465.149933,114.940437,39.881874
0.196,1002.854248,968.060608,469.580383,117.999191,39.931793
0.2,1005.83844,971.684448,472.262939,121.783546,39.956753
0.204,1009.372803,974.440063,477.361633,125.988914,42.584442
0.208,1012.698364,977.635681,480.594757,129.661346,42.584442
0.212,1016.383545,980.569458,484.750183,135.476685,42.584442
0.216,1019.929932,984.032959,488.766663,138.508011,40.913937
0.22,1022.938293,987.403992,494.372375,143.127487,40.136345
0.224,1026.160278,990.239624,497.45816,147.382187,40.697971
0.228,1029.618164,993.37793,500.492218,150.589096,40.885372
0.232,1032.971924,996.770386,506.415222,153.373276,40.947838
0.236,1036.685547,999.705688,511.342499,157.76886,40.819889
0.24,1038.978638,1002.807739,514.481384,163.855011,40.436039
0.244,1042.185425,1005.455383,516.710693,166.095901,40.275179
0.248,1044.173218,1008.21936,521.723999,168.873917,40.353021
0.252,1047.36792,1010.874084,525.949707,172.706268,40.881122
0.256,1050.280029,1013.132385,529.497925,177.054138,42.071041
0.26,1052.621094,1015.570313,533.402832,182.204697,44.201374
0.264,1054.28064,1015.624207,535.598633,185.114227,46.378387
0.268,1055.958374,1018.658447,538.189026,189.507858,51.380802
0.272,1057.869019,1021.043274,540.146362,194.53537,53.941559
0.276,1059.625244,1022.804749,543.135132,199.190277,58.099571
0.28,1061.363037,1024.254761,545.942383,204.616486,60.120731
0.284,1062.994141,1025.330566,547.441711,211.743011,63.919225
0.288,1064.105835,1025.936523,550.379395,217.571396,69.055657
0.292,1064.754028,1028.113159,551.765625,223.489151,75.098243
0.296,1065.435791,1028.330322,551.824402,229.19783,81.615196
0.3,1066.092773,1029.254028,550.924927,235.184753,88.637604
0.304,1066.749512,1030.46521,551.311951,241.68576,96.484894
0.308,1066.398682,1029.668945,551.329041,248.066147,97.64579
0.312,1066.049438,1029.453491,550.559448,253.76355,104.430565
0.316,1066.150757,1029.51416,550.659973,258.493652,110.488968
0.32,1065.525391,1029.404297,551.002258,268.390015,115.359764
0.324,1064.113281,1029.107666,551.054565,274.185272,120.957108
0.328,1062.705688,1028.757202,548.670715,279.907227,129.468704
0.332,1061.637817,1027.943359,547.934753,286.490051,133.345505
0.336,1059.942505,1026.984497,545.502991,293.703918,139.868607
0.34,1057.83728,1026.026489,543.48938,301.066589,146.204819
0.344,1055.65686,1024.544312,541.222534,306.920685,153.386963
0.348,1053.099121,1022.884583,538.417053,313.927917,162.428818
0.352,1050.407715,1021.076721,535.639221,320.854401,164.147293
0.356,1047.196167,1018.430176,532.391479,327.3284,174.506683
0.36,1044.952637,1015.611572,528.848755,334.59787,
0.364,1042.005737,1013.209961,525.221313,340.22995,
0.368,1038.510376,1010.168274,521.031189,346.320007,
0.372,1035.279541,1007.25647,516.8703,353.318573,
0.376,1031.945923,1003.994568,513.291443,358.666809,
0.38,1028.04187,1000.621216,509.3974,365.093781,
0.384,1024.071655,997.627563,504.886292,370.798553,
0.388,1020.207947,993.971069,499.753296,375.990326,
0.392,1016.328735,990.403015,492.993378,380.966919,230.619202
0.396,1012.628296,986.325867,489.56778,386.37616,237.940735
0.4,1008.988403,982.200378,484.768616,390.774384,247.267441
0.404,1003.752625,977.962402,480.761322,395.189331,248.943253
0.408,999.974609,973.359375,476.594788,398.932343,255.152985
0.412,996.447632,969.228455,471.419556,404.546295,261.139954
0.416,992.101135,964.584412,466.511932,409.014618,265.283295
0.42,987.881287,959.968689,461.259521,412.405731,269.349762
0.424,984.656616,956.258179,457.943115,415.008942,272.622955
0.428,981.906799,952.046448,454.645203,418.060577,278.292145
0.432,979.468628,947.018677,451.484589,421.208588,282.005859
0.436,978.285095,942.512329,449.459167,424.422028,283.56543
0.44,978.242065,938.977051,447.854614,425.371918,285.824524
0.444,978.281189,935.567139,446.709503,426.523499,286.418488
0.448,977.845886,932.98175,442.129333,427.733124,292.399689
0.452,977.18811,930.05188,442.30957,428.896057,290.498749
0.456,976.669983,928.000122,440.992737,429.28479,288.975647
0.46,976.499878,928.985168,443.376862,428.991364,287.868622
0.464,976.777344,929.398132,441.122467,428.592773,289.67868
0.468,976.607727,930.621826,443.555511,427.577423,289.514648
0.472,976.00592,932.517273,443.170532,426.227234,288.077942
0.476,975.850952,934.227966,444.41333,425.109497,286.805786
0.48,977.007446,936.309814,445.922363,423.188232,284.611859
0.484,978.588745,938.551025,448.127502,419.982025,281.856173
0.488,980.016602,939.835754,449.608185,419.872711,278.561371
0.492,980.912476,941.244568,450.359924,417.920349,274.60022
0.496,983.715637,942.675781,454.661285,414.620239,270.268494
0.5,986.206299,944.220093,458.343781,410.965179,264.057434
0.504,988.192078,946.759705,462.52887,407.326843,260.62851
0.508,990.29303,949.613708,467.51358,403.114746,257.144104
0.512,993.084961,951.637207,472.473022,399.341522,251.454165
0.516,995.737427,953.460388,477.506378,395.386597,245.772263
0.52,998.163025,957.545654,482.650482,389.78064,240.577805
0.524,1001.419861,959.772156,487.907593,385.06488,236.995041
0.528,1004.826294,962.57312,493.330109,380.210968,231.570145
0.532,1007.932068,964.869873,500.03363,374.171814,223.236252
0.536,1011.857117,969.724182,504.962524,367.945129,216.542084
0.54,1015.712463,973.880737,509.765381,361.702332,212.84346
0.544,1018.734924,978.135803,515.157104,356.701874,205.904648
0.548,1022.266296,982.96991,522.030701,350.189178,198.553024
0.552,1026.050659,987.397888,529.488953,343.697083,192.261093
0.556,1029.595703,991.132874,534.747009,336.459564,186.151001
0.56,1033.065918,995.560547,539.918335,331.387848,178.428818
0.564,1035.868286,1000.844666,545.108398,324.135529,173.785721
