Time_s,RASIS (right hip / pelvis),L5S1 (low back / sacrum),RLAMA (right ankle),RLAKN (right knee),RDIFT (right toe / forefoot)
0.0,949.205078,973.194641,76.809906,481.388,41.886833
0.016667,941.117188,964.057007,83.777847,470.150269,41.52338
0.033333,942.430725,965.988525,86.665703,462.325989,41.035145
0.05,945.093933,967.581604,91.295174,451.227509,40.602585
0.066667,948.352905,971.412109,102.511452,444.599884,40.488903
0.083333,951.723633,980.612549,116.282127,449.863678,40.37112
0.1,957.779053,990.183655,137.403641,465.129364,39.657654
0.116667,969.985168,1000.641907,161.985077,488.809784,38.422428
0.133333,986.132019,1011.697815,183.175491,516.93634,37.260597
0.15,1001.338745,1022.064758,213.426147,544.992004,60.857018
0.166667,1012.506592,1031.547119,255.307205,563.403198,97.829048
0.183333,1018.758789,1039.834351,302.275665,572.722351,142.595276
0.2,1021.822998,1041.001099,351.787323,580.934082,193.458282
0.216667,1022.152222,1039.642578,403.017609,581.148682,248.299286
0.233333,1018.875122,1031.707397,452.389313,573.479492,305.582001
0.25,1012.919678,1020.901001,496.974518,556.13916,359.02536
0.266667,1001.279297,1006.802673,532.655151,531.83783,407.622223
0.283333,983.44519,990.475586,556.867798,505.825378,445.267944
0.3,964.013245,973.152283,570.005371,482.117767,468.217346
0.316667,943.314697,956.837341,572.390869,462.792847,474.724701
0.333333,922.427002,953.576477,561.504395,452.633667,465.437653
0.35,919.71875,956.499268,542.760498,450.631592,440.14151
0.366667,931.3573,960.166016,513.521729,461.170685,398.39502
0.383333,940.849548,965.656555,475.882935,489.943634,345.75766
0.4,949.498108,973.832397,429.985565,526.271301,287.571136
0.416667,964.565552,983.608215,381.789581,562.873718,231.303101
0.433333,980.324951,993.752625,336.385895,593.847717,184.602264
0.45,995.740051,1004.592651,291.527283,616.499268,148.019424
0.466667,1008.882446,1014.580139,249.312759,629.013367,120.410889
0.483333,1021.076843,1023.136292,212.268539,628.592346,105.47184
0.5,1025.887085,1029.787598,182.842316,611.456909,105.451096
0.516667,1024.338867,1031.09375,167.955551,586.896912,121.957619
0.533333,1016.683105,1027.413086,158.474343,562.247925,121.618121
0.55,1007.890991,1020.759033,152.686177,542.189575,106.33466
0.566667,998.158508,1009.347168,140.779907,532.433228,84.330709
0.583333,988.373169,993.492737,117.955627,522.822571,63.829744
0.6,976.260071,976.26886,95.390129,514.408936,53.055241
0.616667,961.445496,957.896179,82.501198,500.894958,52.537716
0.633333,944.742249,942.111938,84.602417,487.804291,51.82803
0.65,934.922668,938.987915,88.357422,491.951691,51.471436
0.666667,936.648743,939.954102,87.75563,485.156952,51.238834
