Time_s,L5S1 (low back / sacrum),RLAKN (right knee),RASIS (right hip / pelvis),RLAMA (right ankle),RDIFT (right toe / forefoot)
0.0,970.65802,485.686005,955.155701,77.812355,92.603058
0.004,970.409241,485.541229,954.840332,75.776543,89.116348
0.008,970.433777,485.833649,954.1539310000001,74.533188,84.79525
0.012,970.779785,485.957153,953.667664,73.569519,79.469223
0.016,971.429199,485.891541,953.30426,72.340652,73.60022
0.02,970.292542,485.841888,952.799561,72.788574,68.084045
0.024,970.308228,485.651001,952.386414,72.486305,63.326988
0.028,972.682617,485.709564,952.213989,72.110527,59.173996
0.032,970.922852,486.274597,952.691223,73.503662,56.239479
0.036,970.677246,486.903748,953.224731,73.182602,53.738567
0.04,971.319031,486.726685,953.234009,72.857208,51.263504
0.044,970.228027,487.271729,952.957275,72.533531,50.028111
0.048,971.226257,488.045044,952.256836,71.865982,49.323055
0.052,971.349609,488.546204,953.665833,71.784317,48.333153
0.056,972.764832,487.983154,954.42749,71.868523,47.429989
0.06,973.277588,490.4505,954.918945,72.179771,46.924068
0.064,973.813171,492.365509,955.731812,72.78376,46.61554
0.068,975.695129,494.023926,956.752258,73.807411,46.255424
0.072,975.609009,495.183899,958.094177,74.672234,45.841511
0.076,974.775208,495.794617,959.950439,74.639824,45.367535
0.08,974.766113,496.547119,961.852356,74.515228,44.583618
0.084,975.499939,498.345245,963.606018,74.666328,42.935101
0.088,976.036255,497.975006,965.279175,74.575432,42.994434
0.092,976.971252,498.218475,967.170776,74.459381,43.673962
0.096,978.100403,498.676392,968.780396,74.629539,43.915401
0.1,977.210144,499.005798,970.296326,74.852203,43.896595
0.104,979.239563,499.185089,971.968506,75.18409,43.814201
0.108,980.095947,498.973328,973.277039,75.350029,43.754055
0.112,980.387024,498.198364,974.640564,75.272903,43.731079
0.116,981.006958,497.818512,976.394104,75.118637,43.719589
0.12,984.06897,498.161163,978.039001,75.041504,43.719589
0.124,982.575867,498.341766,978.890259,75.041504,43.719589
0.128,983.189209,498.306335,979.228699,75.041504,43.719589
0.132,982.875977,497.90976,979.976807,75.041504,43.707329
0.136,984.271667,497.359039,980.887451,75.041504,43.695068
0.14,985.500549,497.522247,981.534424,75.037888,43.707329
0.144,986.052124,496.964539,981.963623,75.034271,43.719589
0.148,986.5672,497.026642,982.078491,75.037888,43.719589
