Time_s,RLAKN (right knee),RLAMA (right ankle),L5S1 (low back / sacrum),RDIFT (right toe / forefoot),RASIS (right hip / pelvis)
0.0,476.989929,71.214546,965.990967,88.648781,949.684814
0.016667,476.152252,70.004723,963.824951,62.752865,948.246643
0.033333,480.858093,69.769806,964.254456,49.687065,947.526978
0.05,486.71402,70.433418,965.63092,47.082676,950.710999
0.066667,492.154449,71.310158,967.599121,45.526188,955.541748
0.083333,493.867615,72.161697,969.904053,44.268536,961.551636
0.1,493.14505,72.689865,972.809509,43.374512,966.702942
0.116667,492.416962,72.982925,976.127441,42.79958,970.169617
0.133333,491.903809,73.135216,978.560547,42.515976,972.309082
0.15,492.133698,73.066689,981.108154,42.404171,974.002869
0.166667,492.341217,72.954735,984.492554,42.335732,976.294495
0.183333,491.992584,72.910431,988.014648,42.301434,979.504333
0.2,491.816345,72.886063,991.035706,42.257862,983.551636
0.216667,491.704956,72.9011,993.980347,42.209362,988.003479
0.233333,491.377899,72.994637,997.512329,42.176659,989.748352
0.25,491.390961,73.188271,999.667114,42.15638,990.66095
0.266667,491.731232,73.425781,1001.464905,42.231884,990.975342
0.283333,491.920502,73.68515,1002.83374,42.359879,991.092529
0.3,491.86319,74.116066,1003.847656,42.399513,991.177002
0.316667,491.728455,74.74775700000001,1004.518799,42.41848,991.542847
0.333333,491.693909,75.324631,1004.645081,42.491684,991.79541
0.35,491.857239,75.845009,1004.07135,42.66827,991.302002
0.366667,492.147766,76.413116,1003.169312,42.872944,990.023071
0.383333,492.349518,77.130516,1001.910156,42.928135,987.990967
0.4,492.369171,78.24707,1000.017212,42.962509,985.370178
0.416667,492.248596,79.593376,997.833923,42.883907,982.56842
0.433333,491.912628,80.952103,995.215515,42.641647,979.878845
0.45,491.217896,82.52787,992.010925,42.580364,977.120239
0.466667,490.427612,84.463066,988.88562,42.582027,974.076477
0.483333,490.013977,87.047272,985.735291,42.414623,970.740723
0.5,489.90921,90.370956,981.912842,42.177391,967.22644
0.516667,489.673492,94.359642,978.002991,41.987286,963.939087
0.533333,489.214325,99.341408,974.897339,41.791477,960.989746
0.55,488.621765,105.297432,971.808655,41.510479,958.127136
0.566667,487.813599,112.402107,968.807922,41.250774,955.092773
0.583333,487.042603,121.238235,966.490967,40.906914,952.079834
0.6,486.578369,132.040283,965.627625,40.380554,949.715393
0.616667,486.212982,144.31633,967.427795,39.561039,948.244629
0.633333,483.468567,158.475143,970.254761,38.459698,948.084595
0.65,478.830444,171.886978,974.510498,37.49242,949.658936
0.666667,474.231689,185.613922,978.725952,43.203838,952.754639
0.683333,470.784943,201.136414,982.264954,55.945045,956.616516
0.7,469.565277,218.091721,984.95343,70.083092,959.907654
0.716667,471.002899,233.216049,988.019897,83.886215,962.309998
0.733333,474.899506,244.482056,990.417786,93.022514,964.489807
0.75,480.472076,252.430344,992.848145,100.622635,966.471985
0.766667,486.787292,255.516266,995.438171,105.919861,968.382813
0.783333,493.303986,257.057251,997.769897,106.372604,970.935303
0.8,499.748138,252.407028,999.327454,106.279732,974.314392
0.816667,506.027557,245.20816,1000.089783,102.232841,978.001953
0.833333,512.190247,234.814041,1000.395569,96.719177,979.834351
0.85,517.924744,222.350632,1000.283752,90.0989,981.294922
0.866667,524.267639,206.26799,999.873962,82.657104,981.84436
0.883333,528.454346,188.776459,999.244324,75.057381,981.913696
0.9,531.153625,170.113342,998.179626,68.099319,981.210815
0.916667,532.72345,151.256241,996.687988,62.563122,980.358765
0.933333,531.466858,132.964554,995.095764,58.878937,979.293213
0.95,528.756653,115.233818,993.729126,57.834858,978.094055
0.966667,522.863281,101.215767,992.476563,59.24292,976.893921
0.983333,515.693604,90.954201,990.665344,65.534416,975.086121
1.0,507.912506,86.627426,988.426941,76.420486,972.723083
1.016667,500.641449,85.217545,986.26355,88.069115,970.397949
1.033333,494.696259,84.890732,984.066956,98.235825,967.882446
1.05,489.416901,84.504631,981.656128,102.507454,965.805542
1.066667,486.893066,79.396393,979.267212,97.877106,964.118835
1.083333,485.447357,75.596321,977.506836,84.882805,962.714844
